2025-06-11 23:24:16,394 | INFO | MongoCheckpointer | in_memory.py:20 | MongoDB checkpointer initialized successfully.
2025-06-11 23:26:20,841 | INFO | Workflow | workflow.py:44 | Workflow initialized successfully.
2025-06-11 23:26:20,841 | INFO | Workflow | workflow.py:113 | Initializing WorkflowRunner...
2025-06-11 23:26:20,843 | INFO | Workflow | workflow.py:101 | Graph created and compiled.
2025-06-11 23:26:20,849 | INFO | Workflow | workflow.py:117 | WorkflowRunner ready.
2025-06-11 23:33:30,437 | INFO | Workflow | workflow.py:125 | Handling user query: What is ai in robotics
2025-06-11 23:33:31,669 | INFO | ValidationNode | input_validation_node.py:29 | New tool call added to messages.
2025-06-11 23:33:31,670 | INFO | ValidationNode | input_validation_node.py:45 | No tool or feedback intervention. Continuing with same query.
2025-06-11 23:33:31,670 | DEBUG | HumanRouter | validation_edge.py:16 | Last message: content='The query "What is ai in robotics" is clear enough to understand the user\'s intent. It\'s a request for information about the application of artificial intelligence in the field of robotics.' additional_kwargs={} response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []} id='run--1c395904-041c-4cbd-9206-77c68b8c3f06-0' usage_metadata={'input_tokens': 339, 'output_tokens': 40, 'total_tokens': 379, 'input_token_details': {'cache_read': 0}}
2025-06-11 23:33:31,670 | INFO | HumanRouter | validation_edge.py:22 | No tool_calls detected. Routing to 'routing agent'
2025-06-11 23:33:32,528 | INFO | RoutingNode | query_routing_node.py:17 | Agent selected by router: llm_agent
2025-06-11 23:33:32,528 | INFO | Router | routing_edge.py:11 | Routing decision based on last agent: llm_agent
2025-06-11 23:33:32,529 | INFO | baseagent | llm_search_agent.py:40 | Agent invoked for query: What is ai in robotics
2025-06-11 23:33:32,530 | DEBUG | baseagent | llm_search_agent.py:47 | History (last 5): [AIMessage(content='The query "My name is pratham" is a statement, not a question or request requiring clarification. It\'s clear enough and doesn\'t fall into the categories requiring the `human_feedback` tool.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, id='run--a5673270-4ceb-46c7-82e0-f02672fb10af-0', usage_metadata={'input_tokens': 349, 'output_tokens': 44, 'total_tokens': 393, 'input_token_details': {'cache_read': 0}}), AIMessage(content='Nice to meet you, Pratham! How can I help you today?', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--4878d269-b6fd-415f-a38e-02fc8a48ea4c-0', usage_metadata={'input_tokens': 467, 'output_tokens': 16, 'total_tokens': 483, 'input_token_details': {'cache_read': 0}}), AIMessage(content='The query "What is my name" is clear enough. It\'s a request to retrieve the user\'s name. No clarification is needed.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, id='run--84e535ea-8be9-4ea9-b114-a3d11b0159e0-0', usage_metadata={'input_tokens': 347, 'output_tokens': 31, 'total_tokens': 378, 'input_token_details': {'cache_read': 0}}), AIMessage(content='Your name is Pratham.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--7f2feacf-301b-4711-8864-b39c58ead824-0', usage_metadata={'input_tokens': 449, 'output_tokens': 7, 'total_tokens': 456, 'input_token_details': {'cache_read': 0}}), AIMessage(content='The query "What is ai in robotics" is clear enough to understand the user\'s intent. It\'s a request for information about the application of artificial intelligence in the field of robotics.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, id='run--1c395904-041c-4cbd-9206-77c68b8c3f06-0', usage_metadata={'input_tokens': 339, 'output_tokens': 40, 'total_tokens': 379, 'input_token_details': {'cache_read': 0}})]
2025-06-11 23:33:37,827 | INFO | baseagent | llm_search_agent.py:57 | Agent response added to state messages.
2025-06-11 23:35:08,906 | INFO | Workflow | workflow.py:125 | Handling user query: What is 
2025-06-11 23:35:09,991 | WARNING | ValidationNode | input_validation_node.py:31 | Duplicate tool call detected. Skipping.
2025-06-11 23:35:09,991 | INFO | ValidationNode | input_validation_node.py:45 | No tool or feedback intervention. Continuing with same query.
2025-06-11 23:35:09,992 | DEBUG | HumanRouter | validation_edge.py:16 | Last message: content="AI in robotics refers to the use of artificial intelligence techniques to enable robots to perform tasks more intelligently and autonomously. Instead of just following pre-programmed instructions, AI-powered robots can learn, adapt, and make decisions based on sensory input and data analysis.\n\nHere's a breakdown of key aspects:\n\n*   **Perception:** AI algorithms allow robots to interpret sensory data from cameras, lidar, sonar, and other sensors to understand their environment. This includes object recognition, scene understanding, and localization.\n*   **Planning:** AI enables robots to plan complex tasks, taking into account constraints and goals. This involves path planning, task scheduling, and resource allocation.\n*   **Control:** AI algorithms can control the movements of robots, ensuring smooth and precise execution of planned actions. This includes motion control, force control, and manipulation.\n*   **Learning:** Machine learning techniques allow robots to learn from experience and improve their performance over time. This includes reinforcement learning, supervised learning, and unsupervised learning.\n*   **Human-Robot Interaction:** AI facilitates more natural and intuitive interaction between humans and robots through speech recognition, natural language processing, and gesture recognition.\n\n**Examples of AI in Robotics:**\n\n*   **Autonomous Navigation:** Robots that can navigate complex environments without human guidance, such as self-driving cars and warehouse robots.\n*   **Object Recognition and Manipulation:** Robots that can identify and grasp objects in cluttered environments, such as robotic arms in factories and surgical robots.\n*   **Collaborative Robots (Cobots):** Robots that can work safely alongside humans in shared workspaces, such as assembly line robots and healthcare assistants.\n*   **Robotic Process Automation (RPA):** Software robots that automate repetitive tasks in offices and other business settings.\n*   **Search and Rescue Robots:** Robots that can explore disaster areas and locate survivors.\n\n**Benefits of AI in Robotics:**\n\n*   **Increased Efficiency and Productivity:** Robots can perform tasks faster and more accurately than humans.\n*   **Improved Safety:** Robots can perform tasks in hazardous environments, reducing the risk to human workers.\n*   **Enhanced Flexibility and Adaptability:** Robots can adapt to changing conditions and perform a wider range of tasks.\n*   **Reduced Costs:** Robots can automate tasks, reducing labor costs and improving resource utilization.\n\nIn short, AI is revolutionizing robotics by enabling robots to be more intelligent, adaptable, and useful in a wide range of applications." additional_kwargs={} response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []} name='llm_expert' id='run--81650de6-8948-474b-a936-aa37e85e1105-0' usage_metadata={'input_tokens': 163, 'output_tokens': 501, 'total_tokens': 664, 'input_token_details': {'cache_read': 0}}
2025-06-11 23:35:09,992 | INFO | HumanRouter | validation_edge.py:22 | No tool_calls detected. Routing to 'routing agent'
2025-06-11 23:35:10,738 | INFO | RoutingNode | query_routing_node.py:17 | Agent selected by router: llm_agent
2025-06-11 23:35:10,738 | INFO | Router | routing_edge.py:11 | Routing decision based on last agent: llm_agent
2025-06-11 23:35:10,739 | INFO | baseagent | llm_search_agent.py:40 | Agent invoked for query: What is 
2025-06-11 23:35:10,740 | DEBUG | baseagent | llm_search_agent.py:47 | History (last 5): [AIMessage(content='Nice to meet you, Pratham! How can I help you today?', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--4878d269-b6fd-415f-a38e-02fc8a48ea4c-0', usage_metadata={'input_tokens': 467, 'output_tokens': 16, 'total_tokens': 483, 'input_token_details': {'cache_read': 0}}), AIMessage(content='The query "What is my name" is clear enough. It\'s a request to retrieve the user\'s name. No clarification is needed.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, id='run--84e535ea-8be9-4ea9-b114-a3d11b0159e0-0', usage_metadata={'input_tokens': 347, 'output_tokens': 31, 'total_tokens': 378, 'input_token_details': {'cache_read': 0}}), AIMessage(content='Your name is Pratham.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--7f2feacf-301b-4711-8864-b39c58ead824-0', usage_metadata={'input_tokens': 449, 'output_tokens': 7, 'total_tokens': 456, 'input_token_details': {'cache_read': 0}}), AIMessage(content='The query "What is ai in robotics" is clear enough to understand the user\'s intent. It\'s a request for information about the application of artificial intelligence in the field of robotics.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, id='run--1c395904-041c-4cbd-9206-77c68b8c3f06-0', usage_metadata={'input_tokens': 339, 'output_tokens': 40, 'total_tokens': 379, 'input_token_details': {'cache_read': 0}}), AIMessage(content="AI in robotics refers to the use of artificial intelligence techniques to enable robots to perform tasks more intelligently and autonomously. Instead of just following pre-programmed instructions, AI-powered robots can learn, adapt, and make decisions based on sensory input and data analysis.\n\nHere's a breakdown of key aspects:\n\n*   **Perception:** AI algorithms allow robots to interpret sensory data from cameras, lidar, sonar, and other sensors to understand their environment. This includes object recognition, scene understanding, and localization.\n*   **Planning:** AI enables robots to plan complex tasks, taking into account constraints and goals. This involves path planning, task scheduling, and resource allocation.\n*   **Control:** AI algorithms can control the movements of robots, ensuring smooth and precise execution of planned actions. This includes motion control, force control, and manipulation.\n*   **Learning:** Machine learning techniques allow robots to learn from experience and improve their performance over time. This includes reinforcement learning, supervised learning, and unsupervised learning.\n*   **Human-Robot Interaction:** AI facilitates more natural and intuitive interaction between humans and robots through speech recognition, natural language processing, and gesture recognition.\n\n**Examples of AI in Robotics:**\n\n*   **Autonomous Navigation:** Robots that can navigate complex environments without human guidance, such as self-driving cars and warehouse robots.\n*   **Object Recognition and Manipulation:** Robots that can identify and grasp objects in cluttered environments, such as robotic arms in factories and surgical robots.\n*   **Collaborative Robots (Cobots):** Robots that can work safely alongside humans in shared workspaces, such as assembly line robots and healthcare assistants.\n*   **Robotic Process Automation (RPA):** Software robots that automate repetitive tasks in offices and other business settings.\n*   **Search and Rescue Robots:** Robots that can explore disaster areas and locate survivors.\n\n**Benefits of AI in Robotics:**\n\n*   **Increased Efficiency and Productivity:** Robots can perform tasks faster and more accurately than humans.\n*   **Improved Safety:** Robots can perform tasks in hazardous environments, reducing the risk to human workers.\n*   **Enhanced Flexibility and Adaptability:** Robots can adapt to changing conditions and perform a wider range of tasks.\n*   **Reduced Costs:** Robots can automate tasks, reducing labor costs and improving resource utilization.\n\nIn short, AI is revolutionizing robotics by enabling robots to be more intelligent, adaptable, and useful in a wide range of applications.", additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--81650de6-8948-474b-a936-aa37e85e1105-0', usage_metadata={'input_tokens': 163, 'output_tokens': 501, 'total_tokens': 664, 'input_token_details': {'cache_read': 0}})]
2025-06-11 23:35:12,088 | INFO | baseagent | llm_search_agent.py:57 | Agent response added to state messages.
2025-06-11 23:35:31,725 | INFO | Workflow | workflow.py:125 | Handling user query: Whar is
2025-06-11 23:35:33,080 | WARNING | ValidationNode | input_validation_node.py:31 | Duplicate tool call detected. Skipping.
2025-06-11 23:35:33,080 | INFO | ValidationNode | input_validation_node.py:45 | No tool or feedback intervention. Continuing with same query.
2025-06-11 23:35:33,081 | DEBUG | HumanRouter | validation_edge.py:16 | Last message: content='The query "What is" is incomplete and requires clarification. To provide a helpful response, I need to know what you\'re asking about. Could you please specify what you\'d like to know? For example:\n\n*   "What is machine learning?"\n*   "What is the capital of France?"\n*   "What is the meaning of life?"\n\nOnce you provide more context, I\'ll be happy to assist you.' additional_kwargs={} response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []} name='llm_expert' id='run--85fab8f6-af96-4221-a03f-16629a0f0a62-0' usage_metadata={'input_tokens': 618, 'output_tokens': 92, 'total_tokens': 710, 'input_token_details': {'cache_read': 0}}
2025-06-11 23:35:33,081 | INFO | HumanRouter | validation_edge.py:22 | No tool_calls detected. Routing to 'routing agent'
2025-06-11 23:35:33,800 | INFO | RoutingNode | query_routing_node.py:17 | Agent selected by router: llm_agent
2025-06-11 23:35:33,800 | INFO | Router | routing_edge.py:11 | Routing decision based on last agent: llm_agent
2025-06-11 23:35:33,801 | INFO | baseagent | llm_search_agent.py:40 | Agent invoked for query: Whar is
2025-06-11 23:35:33,802 | DEBUG | baseagent | llm_search_agent.py:47 | History (last 5): [AIMessage(content='The query "What is my name" is clear enough. It\'s a request to retrieve the user\'s name. No clarification is needed.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, id='run--84e535ea-8be9-4ea9-b114-a3d11b0159e0-0', usage_metadata={'input_tokens': 347, 'output_tokens': 31, 'total_tokens': 378, 'input_token_details': {'cache_read': 0}}), AIMessage(content='Your name is Pratham.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--7f2feacf-301b-4711-8864-b39c58ead824-0', usage_metadata={'input_tokens': 449, 'output_tokens': 7, 'total_tokens': 456, 'input_token_details': {'cache_read': 0}}), AIMessage(content='The query "What is ai in robotics" is clear enough to understand the user\'s intent. It\'s a request for information about the application of artificial intelligence in the field of robotics.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, id='run--1c395904-041c-4cbd-9206-77c68b8c3f06-0', usage_metadata={'input_tokens': 339, 'output_tokens': 40, 'total_tokens': 379, 'input_token_details': {'cache_read': 0}}), AIMessage(content="AI in robotics refers to the use of artificial intelligence techniques to enable robots to perform tasks more intelligently and autonomously. Instead of just following pre-programmed instructions, AI-powered robots can learn, adapt, and make decisions based on sensory input and data analysis.\n\nHere's a breakdown of key aspects:\n\n*   **Perception:** AI algorithms allow robots to interpret sensory data from cameras, lidar, sonar, and other sensors to understand their environment. This includes object recognition, scene understanding, and localization.\n*   **Planning:** AI enables robots to plan complex tasks, taking into account constraints and goals. This involves path planning, task scheduling, and resource allocation.\n*   **Control:** AI algorithms can control the movements of robots, ensuring smooth and precise execution of planned actions. This includes motion control, force control, and manipulation.\n*   **Learning:** Machine learning techniques allow robots to learn from experience and improve their performance over time. This includes reinforcement learning, supervised learning, and unsupervised learning.\n*   **Human-Robot Interaction:** AI facilitates more natural and intuitive interaction between humans and robots through speech recognition, natural language processing, and gesture recognition.\n\n**Examples of AI in Robotics:**\n\n*   **Autonomous Navigation:** Robots that can navigate complex environments without human guidance, such as self-driving cars and warehouse robots.\n*   **Object Recognition and Manipulation:** Robots that can identify and grasp objects in cluttered environments, such as robotic arms in factories and surgical robots.\n*   **Collaborative Robots (Cobots):** Robots that can work safely alongside humans in shared workspaces, such as assembly line robots and healthcare assistants.\n*   **Robotic Process Automation (RPA):** Software robots that automate repetitive tasks in offices and other business settings.\n*   **Search and Rescue Robots:** Robots that can explore disaster areas and locate survivors.\n\n**Benefits of AI in Robotics:**\n\n*   **Increased Efficiency and Productivity:** Robots can perform tasks faster and more accurately than humans.\n*   **Improved Safety:** Robots can perform tasks in hazardous environments, reducing the risk to human workers.\n*   **Enhanced Flexibility and Adaptability:** Robots can adapt to changing conditions and perform a wider range of tasks.\n*   **Reduced Costs:** Robots can automate tasks, reducing labor costs and improving resource utilization.\n\nIn short, AI is revolutionizing robotics by enabling robots to be more intelligent, adaptable, and useful in a wide range of applications.", additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--81650de6-8948-474b-a936-aa37e85e1105-0', usage_metadata={'input_tokens': 163, 'output_tokens': 501, 'total_tokens': 664, 'input_token_details': {'cache_read': 0}}), AIMessage(content='The query "What is" is incomplete and requires clarification. To provide a helpful response, I need to know what you\'re asking about. Could you please specify what you\'d like to know? For example:\n\n*   "What is machine learning?"\n*   "What is the capital of France?"\n*   "What is the meaning of life?"\n\nOnce you provide more context, I\'ll be happy to assist you.', additional_kwargs={}, response_metadata={'prompt_feedback': {'block_reason': 0, 'safety_ratings': []}, 'finish_reason': 'STOP', 'model_name': 'gemini-2.0-flash', 'safety_ratings': []}, name='llm_expert', id='run--85fab8f6-af96-4221-a03f-16629a0f0a62-0', usage_metadata={'input_tokens': 618, 'output_tokens': 92, 'total_tokens': 710, 'input_token_details': {'cache_read': 0}})]
2025-06-11 23:35:36,039 | INFO | baseagent | llm_search_agent.py:57 | Agent response added to state messages.
